Acronym,Name,Family,Subfamily,Genus,Host,all_NT_ACC,RdRp_NT_ACC,RdRp_PID,all_PID
MERV,Marbled_eel_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,KP335195,KP335195,AKR72053.1,AKR72053
MELV,Melaka_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Bat,NC_020439.1&NC_020447.1&NC_020440.1&NC_020441.1&NC_020442.1&NC_020443.1&NC_020448.1&NC_020444.1&NC_020445.1&NC_020446.1,NC_020447,YP_007507325.1,YP_007507317&YP_007507325&YP_007507318&YP_007507319&YP_007507320&YP_007507321&YP_007507326&YP_007507322&YP_007507323&YP_007507324
MPRV,Micromonas_pusilla_reovirus,Reoviridae,Sedoreovirinae,Mimoreovirus,single_cell_algae,NC_008171.1&NC_008180.1&NC_008181.1&NC_008172.1&NC_008173.1&NC_008174.1&NC_008175.1&NC_008176.1&NC_008177.1&NC_008178.1&NC_008179.1,NC_008172,YP_654545.1,YP_654544&YP_654553&YP_654554&YP_654545&YP_654546&YP_654547&YP_654548&YP_654549&YP_654550&YP_654551&YP_654552
MsReV,Micropterus_salmoides_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,KJ740724&KJ740725&KJ740726&KJ740727&KJ740728&KJ740729&KJ740730&KJ740731&KJ740732&KJ740733&KJ740734,KJ740726,AJD09447.1,AJD09445&AJD09446&AJD09447&AJD09448&AJD09449&AJD09450&AJD09451&AJD09452&AJD09453&AJD09454&AJD09455&AJD09456
MYRV1,Mycoreovirus_1,Reoviridae,Spinareovirinae,Mycoreovirus,Fungi,NC_010743.1&NC_010752.1&NC_010753.1&NC_010744.1&NC_010745.1&NC_010746.1&NC_010747.1&NC_010748.1&NC_010749.1&NC_010750.1&NC_010751.1,NC_010743,YP_001936004.1,YP_001936004&YP_001936013&YP_001936014&YP_001936005&YP_001936006&YP_001936007&YP_001936008&YP_001936009&YP_001936010&YP_001936011&YP_001936012
MYRV3,Mycoreovirus_3,Reoviridae,Spinareovirinae,Mycoreovirus,Fungi,NC_007535.1&NC_007529.1&NC_007531.1&NC_007532.1&NC_007533.1&NC_007536.1&NC_007524.1&NC_007534.1&NC_007525.1&NC_007526.1&NC_007527.1&NC_007528.1,NC_007535,YP_392478.1,YP_392478&YP_392473&YP_392474&YP_392475&YP_392476&YP_392479&YP_392468&YP_392477&YP_392469&YP_392470&YP_392471&YP_392472
NBV,Nelson_Bay_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Bat,JF342672&JF342673&JF342674&JF342675&JF342676&JF342677&AF218360&AF059726&AF059722&AF059718,JF342673,AEQ49381.1,AEQ49380&AEQ49381&AEQ49382&AEQ49383&AEQ49384&AEQ49385&AAF45157&AAF45158&AAF45159&AAC18131&AAC18127&AAC18123
NLRV,Nilaparvata_lugens_reovirus,Reoviridae,Spinareovirinae,Fijivirus,Brown_planthopper,NC_003654.1&NC_003652.1&NC_003655.1&NC_003656.1&NC_003657.1&NC_003658.1&NC_003659.1&NC_003660.1&NC_003653.1&NC_003661.1,NC_003654,NP_619776.1,NP_619776&NP_619774&NP_619777&NP_619778&NP_619779&NP_619780&NP_619781&NP_619782&NP_619775&NP_619783&NP_619784
OBRV,Operophtera_brumata_reovirus,Reoviridae,Spinareovirinae,putative_Idnoreovirus,Moth,NC_007559.1&NC_007568.1&NC_007560.1&NC_007561.1&NC_007562.1&NC_007563.1&NC_007564.1&NC_007565.1&NC_007566.1&NC_007567.1,NC_007559,YP_392501.1,YP_392501&YP_392510&YP_392502&YP_392503&YP_392504&YP_392505&YP_392506&YP_392507&YP_392508&YP_392509
ORUV,Orungo_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Vertebrates,JQ610675&JQ610676&JQ610677&JQ610678&JQ610679&JQ610680&JQ610681&JQ610682&JQ610683&JQ610684,JQ610675,AFX73387.1,AFX73387&AFX73388&AFX73389&AFX73390&AFX73391&AFX73392&AFX73393&AFX73394&AFX73395&AFX73396&AFX73397
PALV,Palyam_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Cattle,NC_005989.1&NC_005990.1&NC_005995.1&NC_005986.1&NC_005991.1&NC_005993.1&NC_005987.1&NC_005988.1&NC_005994.1&NC_005992.1,NC_005990,YP_052935.1,YP_052934&YP_052935&YP_052940&YP_052931&YP_052936&YP_052938&YP_052932&YP_052933&YP_052939&YP_052937&YP_006491214
PHSV,Peruvian_horse_sickness_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Vertebrates,NC_007748.1&NC_007757.1&NC_007749.1&NC_007750.1&NC_007751.1&NC_007755.1&NC_007752.1&NC_007756.1&NC_007754.1&NC_007753.1,NC_007748,YP_460038.1,YP_460038&YP_460047&YP_460039&YP_460040&YP_460041&YP_460045&YP_460042&YP_460046&YP_460044&YP_460043&YP_006491215
PRV,Piscine_reovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Salmon,KR337473&KR337474&KR337475&KR337476&KR337477&KR337478&KR337479&KR337480&KR337481&KR337482,KR337473,AKI88492.1,AKI88492&AKI88493&AKI88494&AKI88495&AKI88496&AKI88497&AKI88498&AKI88499&AKI88500&AKI88501&AKI88502
RRV,Reptilian_orthoreovirus,Reoviridae,Spinareovirinae,Orthoreovirus,Reptile,KT696547&KT696548&KT696549&KT696550&KT696551&KT696552&KT696553&KT696554&KT696555&KT696556,KT696549,AOM63686.1,AOM63684&AOM63685&AOM63686&AOM63687&AOM63688&AOM63689&AOM63690&AOM63691&AOM63692&AOM63693&AOM63694
RBSDV,Rice_black_streaked_dwarf_virus,Reoviridae,Spinareovirinae,Fijivirus,Rice,NC_003729.1&NC_003733.1&NC_003734.1&NC_003728.1&NC_003735.1&NC_003736.1&NC_003737.1&NC_003730.1&NC_003732.1&NC_003731.1,NC_003729,NP_620452.1,NP_620452&NP_620459&NP_620460&NP_620451&NP_620461&NP_620463&NP_620454&NP_620455&NP_620458&NP_620456
RDV,Rice_dwarf_virus,Reoviridae,Sedoreovirinae,Phytoreovirus,Rice,NC_003773.1&NC_003766.1&NC_003767.1&NC_003768.1&NC_003774.1&NC_003772.1&NC_003761.1&NC_003762.1&NC_003763.1&NC_003760.1&NC_003764.1&NC_003765.1,NC_003773,NP_620544.1,NP_620544&NP_620536&NP_620537&NP_620538&YP_003587924&NP_620545&NP_620543&NP_620531&NP_620532&NP_620533&NP_620530&NP_620534&NP_620535
RGDV,Rice_gall_dwarf_virus,Reoviridae,Sedoreovirinae,Phytoreovirus,Rice,NC_009248.1&NC_009242.1&NC_009245.1&NC_009252.1&NC_009244.1&NC_009243.1&NC_009249.1&NC_009247.1&NC_009250.1&NC_009251.1&NC_009241.1&NC_009246.1,NC_009248,YP_001111373.1,YP_001111373&YP_001111367&YP_001111370&YP_001111377&YP_001111369&YP_001111368&YP_001111374&YP_001111372&YP_001111375&YP_001111376&YP_001111366&YP_001111371
RRSV,Rice_ragged_stunt_virus,Reoviridae,Spinareovirinae,Oryzavirus,Rice,NC_003749.1&NC_003769.1&NC_003750.1&NC_003751.1&NC_003771.1&NC_003759.1&NC_003752.1&NC_003770.1&NC_003758.1&NC_003757.1,NC_003771,NP_620541.1,NP_620514&NP_620539&NP_620515&NP_620516&NP_620541&NP_620529&NP_620517&NP_620540&NP_620528&NP_955624&NP_955625&NP_620527
